participant,accuracy,precision,recall,f1_score
AP01,0.2807017543859649,0.949000407996736,0.2807017543859649,0.3932117876390322
AP02,0.9285714285714286,0.8622448979591837,0.9285714285714286,0.8941798941798941
AP03,0.0,0.0,0.0,0.0
AP04,0.9016393442622951,0.8129535071217414,0.9016393442622951,0.8550028264556246
AP05,0.42,0.782,0.42,0.5055462184873949
