Participant,Accuracy,Precision,Recall,F1-Score
AP01,0.9473684210526315,0.8975069252077562,0.9473684210526315,0.9217638691322901
AP02,0.9285714285714286,0.8622448979591837,0.9285714285714286,0.8941798941798941
AP03,1.0,1.0,1.0,1.0
AP04,0.9016393442622951,0.8129535071217414,0.9016393442622951,0.8550028264556246
AP05,0.34,0.8097794117647059,0.34,0.4437746220797068
